# Séparation, actif, 80 (Up to date)
# 629 data points written for 3 variables.
# Simulation warnings:
#   Deploiement du systeme de recuperation à grande vitesse (32,4 m/s):  "Parachute"
#   Open forward airframe (diameter > 0):  "Transition"
#
# Temps (s),Altitude (m),Distance latérale (m)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
23.374,2168.111,902.425
23.514,2165.51,905.053
23.658,2162.709,907.681
23.807,2159.691,910.311
23.962,2156.44,912.944
24.122,2152.937,915.582
24.289,2149.16,918.225
24.463,2145.082,920.875
24.645,2140.673,923.535
24.836,2135.897,926.205
25.038,2130.71,928.889
25.251,2125.061,931.588
25.478,2118.888,934.304
25.72,2112.114,937.041
25.981,2104.642,939.801
26.263,2096.353,942.586
26.572,2087.091,945.399
26.912,2076.651,948.241
27.292,2064.76,951.115
27.723,2051.033,954.02
28.221,2034.92,956.954
28.721,2018.502,959.499
29.221,2001.914,961.692
29.721,1985.198,963.578
30.221,1968.389,965.199
30.721,1951.513,966.59
31.221,1934.59,967.784
31.721,1917.636,968.807
32.221,1900.661,969.684
32.721,1883.676,970.435
33.221,1866.686,971.078
33.721,1849.696,971.628
34.221,1832.711,972.099
34.721,1815.732,972.502
35.221,1798.761,972.847
35.721,1781.801,973.141
36.221,1764.852,973.394
36.721,1747.916,973.609
37.221,1730.992,973.793
37.721,1714.081,973.951
38.221,1697.183,974.085
38.721,1680.299,974.2
39.221,1663.428,974.298
39.721,1646.572,974.382
40.221,1629.729,974.454
40.721,1612.9,974.515
41.221,1596.085,974.567
41.721,1579.284,974.612
42.221,1562.496,974.65
42.721,1545.722,974.682
43.221,1528.963,974.71
43.721,1512.216,974.733
44.221,1495.484,974.754
44.721,1478.765,974.771
45.221,1462.059,974.785
45.721,1445.368,974.798
46.221,1428.691,974.809
46.721,1412.027,974.818
47.221,1395.378,974.825
47.721,1378.742,974.832
48.221,1362.121,974.838
48.721,1345.513,974.842
49.221,1328.92,974.846
49.721,1312.34,974.85
50.221,1295.774,974.853
50.721,1279.222,974.855
51.221,1262.684,974.857
51.721,1246.159,974.859
52.221,1229.648,974.861
52.721,1213.15,974.862
53.221,1196.666,974.863
53.721,1180.195,974.864
54.221,1163.738,974.865
54.721,1147.294,974.866
55.221,1130.863,974.866
55.721,1114.446,974.867
56.221,1098.042,974.867
56.721,1081.65,974.867
57.221,1065.272,974.868
57.721,1048.907,974.868
58.221,1032.555,974.868
58.721,1016.216,974.868
59.221,999.89,974.868
59.721,983.576,974.868
60.221,967.275,974.869
60.721,950.988,974.869
61.221,934.713,974.869
61.721,918.452,974.869
62.221,902.204,974.869
62.721,885.969,974.869
63.221,869.747,974.869
63.721,853.539,974.869
64.221,837.343,974.869
64.721,821.161,974.869
65.221,804.991,974.869
65.721,788.835,974.869
66.221,772.691,974.869
66.721,756.56,974.869
67.221,740.443,974.869
67.721,724.337,974.869
68.221,708.245,974.869
68.721,692.165,974.869
69.221,676.098,974.869
69.721,660.044,974.869
70.221,644.002,974.869
70.721,627.972,974.869
