# LaOnRigoleLongtemps (Up to date)
# 917 data points written for 3 variables.
# Simulation warnings:
#   Les calculs du corps ne seront peut être pas très précis aux vitesses supersonique.
#   Open forward airframe (diameter > 0):  "Transition"
#
# Temps (s),Altitude (m),Distance latérale (m)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
16.488,1179.529,3047.342
16.538,1178.989,3052.908
16.588,1178.426,3058.455
16.638,1177.841,3063.982
16.688,1177.234,3069.491
16.738,1176.604,3074.981
16.788,1175.951,3080.452
16.838,1175.277,3085.904
16.888,1174.58,3091.338
16.938,1173.862,3096.753
16.988,1173.121,3102.15
17.038,1172.358,3107.529
17.088,1171.574,3112.89
17.138,1170.767,3118.232
17.188,1169.939,3123.557
17.238,1169.09,3128.864
17.288,1168.218,3134.154
17.338,1167.326,3139.425
17.388,1166.411,3144.68
17.438,1165.475,3149.917
17.488,1164.518,3155.137
17.538,1163.54,3160.339
17.588,1162.54,3165.525
17.638,1161.52,3170.693
17.688,1160.478,3175.845
17.738,1159.415,3180.98
17.788,1158.331,3186.099
17.838,1157.226,3191.2
17.888,1156.1,3196.286
17.938,1154.954,3201.355
17.988,1153.787,3206.407
18.038,1152.599,3211.444
18.088,1151.39,3216.464
18.138,1150.161,3221.468
18.188,1148.911,3226.456
18.238,1147.641,3231.429
18.288,1146.351,3236.385
18.338,1145.04,3241.326
18.388,1143.709,3246.251
18.438,1142.357,3251.161
18.488,1140.986,3256.055
18.538,1139.594,3260.934
18.588,1138.183,3265.797
18.638,1136.751,3270.646
18.688,1135.299,3275.479
18.738,1133.828,3280.297
18.788,1132.336,3285.1
18.838,1130.825,3289.888
18.888,1129.294,3294.661
18.938,1127.744,3299.419
18.988,1126.173,3304.162
19.038,1124.584,3308.891
19.088,1122.974,3313.606
19.138,1121.346,3318.305
19.188,1119.697,3322.99
19.238,1118.03,3327.661
19.288,1116.343,3332.318
19.338,1114.637,3336.96
19.388,1112.912,3341.588
19.438,1111.167,3346.201
19.488,1109.404,3350.801
19.538,1107.621,3355.387
19.588,1105.82,3359.958
19.638,1103.999,3364.516
19.688,1102.16,3369.06
19.738,1100.301,3373.59
19.788,1098.424,3378.106
19.838,1096.529,3382.608
19.888,1094.614,3387.097
19.938,1092.681,3391.573
19.988,1090.729,3396.034
20.038,1088.759,3400.483
20.088,1086.77,3404.917
20.138,1084.763,3409.339
20.188,1082.737,3413.747
20.238,1080.693,3418.141
20.288,1078.631,3422.523
20.338,1076.55,3426.891
20.388,1074.452,3431.247
20.438,1072.335,3435.589
20.488,1070.2,3439.918
20.538,1068.047,3444.234
20.588,1065.876,3448.537
20.638,1063.687,3452.827
20.688,1061.48,3457.104
20.738,1059.256,3461.369
20.788,1057.013,3465.621
20.838,1054.753,3469.86
