# LaOnRigoleLongtemps (Up to date)
# 832 data points written for 3 variables.
# Simulation warnings:
#   Les calculs du corps ne seront peut être pas très précis aux vitesses supersonique.
#   Deploiement du systeme de recuperation à grande vitesse (33 m/s):  "Parachute"
#   Open forward airframe (diameter > 0):  "Transition"
#
# Temps (s),Altitude (m),Distance latérale (m)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
21.269,3268.647,1094.409
21.319,3269.722,1096.129
21.369,3270.773,1097.847
21.419,3271.798,1099.563
21.469,3272.798,1101.277
21.519,3273.773,1102.99
21.569,3274.722,1104.701
21.619,3275.646,1106.41
21.669,3276.545,1108.118
21.719,3277.419,1109.824
21.769,3278.268,1111.528
21.819,3279.092,1113.23
21.869,3279.89,1114.931
21.919,3280.664,1116.63
21.969,3281.413,1118.328
22.019,3282.136,1120.024
22.069,3282.835,1121.718
22.119,3283.509,1123.411
22.169,3284.158,1125.102
22.219,3284.783,1126.791
22.269,3285.382,1128.479
22.319,3285.957,1130.165
22.369,3286.507,1131.85
22.419,3287.032,1133.533
22.469,3287.533,1135.215
22.519,3288.009,1136.896
22.569,3288.46,1138.574
22.619,3288.887,1140.252
22.669,3289.289,1141.927
22.719,3289.667,1143.602
22.769,3290.02,1145.274
22.819,3290.349,1146.946
22.869,3290.653,1148.616
22.919,3290.932,1150.284
22.969,3291.188,1151.951
23.019,3291.418,1153.617
23.069,3291.625,1155.281
23.119,3291.807,1156.944
23.169,3291.964,1158.606
23.219,3292.098,1160.266
23.269,3292.207,1161.925
23.319,3292.291,1163.582
23.369,3292.352,1165.238
23.419,3292.388,1166.893
# Event APOGEE occurred at t=23.469 seconds
23.469,3292.4,1168.546
# Event RECOVERY_DEVICE_DEPLOYMENT occurred at t=23.47 seconds
# Event SIM_WARN occurred at t=23.519 seconds: Deploiement du systeme de recuperation à grande vitesse (33 m/s):  "Parachute"
23.519,3292.388,1170.198
23.594,3292.323,1172.662
23.672,3292.2,1175.149
23.752,3292.015,1177.656
23.834,3291.762,1180.183
23.919,3291.438,1182.727
24.006,3291.038,1185.288
24.096,3290.559,1187.864
24.188,3289.995,1190.452
24.283,3289.342,1193.051
24.38,3288.596,1195.66
24.48,3287.75,1198.277
24.583,3286.802,1200.9
24.688,3285.745,1203.528
24.796,3284.574,1206.159
24.906,3283.284,1208.792
25.02,3281.868,1211.427
25.136,3280.322,1214.062
25.256,3278.638,1216.697
25.379,3276.808,1219.331
25.505,3274.826,1221.964
25.634,3272.682,1224.596
25.768,3270.367,1227.227
25.906,3267.87,1229.858
26.048,3265.178,1232.49
