# LaOnRigoleVite (Up to date)
# 740 data points written for 3 variables.
# Simulation warnings:
#   Les calculs du corps ne seront peut être pas très précis aux vitesses supersonique.
#   Deploiement du systeme de recuperation à grande vitesse (25,7 m/s):  "Parachute"
#   Open forward airframe (diameter > 0):  "Transition"
#
# Temps (s),Altitude (m),Distance latérale (m)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
83.932,1032.818,961.686
84.432,1017.507,961.686
84.932,1002.207,961.686
85.432,986.919,961.686
85.932,971.642,961.686
86.432,956.376,961.686
86.932,941.122,961.686
87.432,925.88,961.686
87.932,910.649,961.686
88.432,895.429,961.686
88.932,880.222,961.686
89.432,865.025,961.686
89.932,849.841,961.686
90.432,834.668,961.686
90.932,819.506,961.686
91.432,804.356,961.686
91.932,789.217,961.686
92.432,774.089,961.686
92.932,758.973,961.686
93.432,743.868,961.686
93.932,728.774,961.686
94.432,713.691,961.686
94.932,698.619,961.686
95.432,683.559,961.686
95.932,668.51,961.686
96.432,653.471,961.685
96.932,638.444,961.685
97.432,623.427,961.685
97.932,608.421,961.685
98.432,593.427,961.685
98.932,578.443,961.685
99.432,563.469,961.685
99.932,548.507,961.685
100.432,533.555,961.685
100.932,518.614,961.685
101.432,503.683,961.685
101.932,488.763,961.685
102.432,473.854,961.685
102.932,458.955,961.685
103.432,444.068,961.685
103.932,429.191,961.685
104.432,414.325,961.685
104.932,399.47,961.685
105.432,384.626,961.685
105.932,369.792,961.685
106.432,354.97,961.685
106.932,340.158,961.685
107.432,325.358,961.685
107.932,310.568,961.685
108.432,295.788,961.685
108.932,281.02,961.685
109.432,266.262,961.685
109.932,251.514,961.685
110.432,236.777,961.685
110.932,222.051,961.685
111.432,207.335,961.685
111.932,192.63,961.685
112.432,177.935,961.685
112.932,163.25,961.685
113.432,148.576,961.685
113.932,133.912,961.685
114.432,119.259,961.685
114.932,104.615,961.685
115.432,89.982,961.685
115.932,75.359,961.685
116.432,60.746,961.685
116.932,46.143,961.685
117.432,31.551,961.685
117.932,16.968,961.685
118.432,2.395,961.685
# Event GROUND_HIT occurred at t=118.515 seconds
# Event SIMULATION_END occurred at t=118.515 seconds
118.515,0,961.685
