# LaOnRigoleVite (Up to date)
# 823 data points written for 3 variables.
# Simulation warnings:
#   Les calculs du corps ne seront peut être pas très précis aux vitesses supersonique.
#   Open forward airframe (diameter > 0):  "Transition"
#
# Temps (s),Altitude (m),Distance latérale (m)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
13.048,1501.448,2403.828
13.098,1502.306,2409.091
13.148,1503.136,2414.337
13.198,1503.939,2419.567
13.248,1504.715,2424.78
13.298,1505.464,2429.976
13.348,1506.186,2435.157
13.398,1506.882,2440.32
13.448,1507.551,2445.468
13.498,1508.194,2450.6
13.548,1508.811,2455.716
13.598,1509.401,2460.816
13.648,1509.965,2465.901
13.698,1510.503,2470.97
13.748,1511.014,2476.024
13.798,1511.5,2481.062
13.848,1511.96,2486.085
13.898,1512.394,2491.093
13.948,1512.803,2496.086
13.998,1513.186,2501.064
14.048,1513.543,2506.027
14.098,1513.875,2510.975
14.148,1514.182,2515.909
14.198,1514.463,2520.828
14.248,1514.719,2525.733
14.298,1514.95,2530.623
14.348,1515.156,2535.499
14.398,1515.337,2540.361
14.448,1515.492,2545.209
14.498,1515.624,2550.043
14.548,1515.73,2554.863
14.598,1515.811,2559.669
14.648,1515.868,2564.461
14.698,1515.901,2569.24
# Event APOGEE occurred at t=14.748 seconds
14.748,1515.909,2574.005
14.798,1515.892,2578.756
14.848,1515.851,2583.494
14.898,1515.786,2588.219
14.948,1515.697,2592.931
14.998,1515.584,2597.629
15.048,1515.446,2602.314
15.098,1515.285,2606.986
15.148,1515.099,2611.645
15.198,1514.89,2616.291
15.248,1514.657,2620.924
15.298,1514.4,2625.545
15.348,1514.119,2630.152
15.398,1513.815,2634.747
15.448,1513.487,2639.33
15.498,1513.136,2643.9
15.548,1512.761,2648.457
15.598,1512.363,2653.003
15.648,1511.942,2657.535
15.698,1511.497,2662.056
15.748,1511.029,2666.564
15.798,1510.538,2671.06
15.848,1510.024,2675.545
15.898,1509.487,2680.017
15.948,1508.927,2684.477
15.998,1508.344,2688.925
16.048,1507.738,2693.361
16.098,1507.11,2697.786
16.148,1506.458,2702.198
16.198,1505.784,2706.599
16.248,1505.088,2710.989
16.298,1504.369,2715.367
16.348,1503.627,2719.733
16.398,1502.863,2724.088
16.448,1502.076,2728.431
16.498,1501.267,2732.763
16.548,1500.436,2737.084
16.598,1499.583,2741.393
16.648,1498.707,2745.691
16.698,1497.809,2749.978
16.748,1496.889,2754.253
16.798,1495.947,2758.518
16.848,1494.983,2762.771
16.898,1493.997,2767.014
16.948,1492.99,2771.245
16.998,1491.96,2775.465
17.048,1490.909,2779.675
17.098,1489.836,2783.874
17.148,1488.741,2788.062
17.198,1487.625,2792.239
17.248,1486.488,2796.405
17.298,1485.328,2800.561
17.348,1484.148,2804.706
17.398,1482.945,2808.84
17.448,1481.722,2812.964
17.498,1480.477,2817.077
17.548,1479.211,2821.179
17.598,1477.924,2825.272
17.648,1476.616,2829.353
17.698,1475.287,2833.425
17.748,1473.936,2837.486
17.798,1472.565,2841.536
17.848,1471.172,2845.576
17.898,1469.759,2849.606
17.948,1468.325,2853.626
17.998,1466.87,2857.635
18.048,1465.395,2861.634
18.098,1463.899,2865.624
18.148,1462.382,2869.602
18.198,1460.844,2873.571
18.248,1459.286,2877.53
18.298,1457.708,2881.479
18.348,1456.109,2885.418
18.398,1454.49,2889.346
18.448,1452.851,2893.265
18.498,1451.191,2897.174
18.548,1449.511,2901.073
18.598,1447.811,2904.962
18.648,1446.091,2908.841
18.698,1444.35,2912.71
18.748,1442.59,2916.57
18.798,1440.81,2920.419
18.848,1439.01,2924.259
18.898,1437.19,2928.09
18.948,1435.35,2931.91
18.998,1433.49,2935.721
19.048,1431.611,2939.522
19.098,1429.712,2943.314
19.148,1427.794,2947.096
19.198,1425.856,2950.868
19.248,1423.898,2954.631
19.298,1421.921,2958.384
19.348,1419.924,2962.128
19.398,1417.909,2965.862
19.448,1415.873,2969.586
19.498,1413.819,2973.301
19.548,1411.745,2977.007
19.598,1409.653,2980.703
19.648,1407.541,2984.39
19.698,1405.41,2988.068
19.748,1403.26,2991.736
19.798,1401.091,2995.394
19.848,1398.903,2999.044
19.898,1396.697,3002.684
19.948,1394.471,3006.314
19.998,1392.227,3009.936
20.048,1389.965,3013.548
20.098,1387.683,3017.151
20.148,1385.383,3020.744
20.198,1383.064,3024.329
20.248,1380.727,3027.904
20.298,1378.372,3031.47
20.348,1375.998,3035.027
20.398,1373.606,3038.575
20.448,1371.196,3042.113
20.498,1368.767,3045.643
20.548,1366.32,3049.163
20.598,1363.855,3052.674
20.648,1361.372,3056.176
20.698,1358.871,3059.669
20.748,1356.352,3063.153
20.798,1353.816,3066.628
20.848,1351.261,3070.094
20.898,1348.689,3073.551
20.948,1346.099,3076.999
20.998,1343.491,3080.438
21.048,1340.865,3083.868
21.098,1338.222,3087.289
21.148,1335.562,3090.701
21.198,1332.884,3094.104
21.248,1330.188,3097.499
21.298,1327.476,3100.884
21.348,1324.746,3104.261
21.398,1321.998,3107.628
21.448,1319.234,3110.987
21.498,1316.452,3114.337
21.548,1313.653,3117.678
21.598,1310.837,3121.01
21.648,1308.005,3124.333
21.698,1305.155,3127.648
21.748,1302.288,3130.953
21.798,1299.405,3134.25
21.848,1296.505,3137.539
21.898,1293.588,3140.818
21.948,1290.654,3144.089
21.998,1287.704,3147.351
22.048,1284.737,3150.604
22.098,1281.754,3153.848
22.148,1278.755,3157.084
22.198,1275.738,3160.311
22.248,1272.706,3163.53
22.298,1269.658,3166.739
22.348,1266.593,3169.94
22.398,1263.512,3173.133
22.448,1260.415,3176.316
22.498,1257.302,3179.492
22.548,1254.172,3182.658
22.598,1251.027,3185.816
22.648,1247.866,3188.965
22.698,1244.69,3192.106
22.748,1241.497,3195.238
22.798,1238.289,3198.362
22.848,1235.065,3201.477
22.898,1231.826,3204.583
22.948,1228.571,3207.681
22.998,1225.3,3210.77
23.048,1222.014,3213.851
23.098,1218.713,3216.923
23.148,1215.396,3219.987
23.198,1212.065,3223.043
23.248,1208.718,3226.089
23.298,1205.355,3229.128
23.348,1201.978,3232.158
23.398,1198.586,3235.179
23.448,1195.179,3238.192
23.498,1191.757,3241.197
23.548,1188.319,3244.193
23.598,1184.868,3247.181
23.648,1181.401,3250.161
23.698,1177.92,3253.132
23.748,1174.424,3256.094
23.798,1170.914,3259.048
23.848,1167.389,3261.994
23.898,1163.849,3264.932
23.948,1160.296,3267.861
23.998,1156.727,3270.782
24.048,1153.145,3273.695
24.098,1149.548,3276.599
24.148,1145.938,3279.495
24.198,1142.313,3282.383
24.248,1138.674,3285.262
24.298,1135.021,3288.133
24.348,1131.354,3290.996
24.398,1127.673,3293.851
24.448,1123.979,3296.697
24.498,1120.27,3299.535
24.548,1116.548,3302.365
24.598,1112.813,3305.187
24.648,1109.063,3308.001
24.698,1105.3,3310.806
24.748,1101.524,3313.603
24.798,1097.735,3316.392
24.848,1093.931,3319.173
24.898,1090.115,3321.946
24.948,1086.286,3324.71
24.998,1082.443,3327.467
25.048,1078.587,3330.215
25.098,1074.718,3332.955
25.148,1070.836,3335.687
25.198,1066.941,3338.411
25.248,1063.033,3341.127
25.298,1059.113,3343.835
25.348,1055.179,3346.535
25.398,1051.233,3349.227
25.448,1047.274,3351.911
25.498,1043.303,3354.586
25.548,1039.319,3357.254
25.598,1035.322,3359.914
25.648,1031.313,3362.565
25.698,1027.292,3365.209
25.748,1023.259,3367.845
25.798,1019.213,3370.473
25.848,1015.155,3373.093
25.898,1011.084,3375.705
25.948,1007.002,3378.309
25.998,1002.908,3380.905
26.048,998.802,3383.493
26.098,994.683,3386.073
26.148,990.553,3388.645
26.198,986.411,3391.21
26.248,982.258,3393.767
26.298,978.092,3396.315
26.348,973.916,3398.856
26.398,969.727,3401.39
26.448,965.527,3403.915
26.498,961.316,3406.432
26.548,957.093,3408.942
26.598,952.858,3411.444
26.648,948.613,3413.938
26.698,944.356,3416.425
26.748,940.088,3418.903
26.798,935.809,3421.374
26.848,931.519,3423.837
26.898,927.218,3426.293
26.948,922.906,3428.741
26.998,918.583,3431.181
27.048,914.249,3433.613
27.098,909.905,3436.038
27.148,905.549,3438.455
27.198,901.183,3440.864
27.248,896.807,3443.266
27.298,892.42,3445.66
27.348,888.022,3448.047
27.398,883.614,3450.426
27.448,879.196,3452.797
27.498,874.767,3455.161
27.548,870.328,3457.517
27.598,865.879,3459.866
27.648,861.419,3462.207
27.698,856.95,3464.541
27.748,852.47,3466.867
27.798,847.98,3469.186
27.848,843.481,3471.497
27.898,838.971,3473.8
27.948,834.452,3476.097
27.998,829.923,3478.385
28.048,825.384,3480.667
28.098,820.836,3482.941
28.148,816.278,3485.207
28.198,811.71,3487.466
28.248,807.133,3489.718
28.298,802.546,3491.962
28.348,797.95,3494.199
28.398,793.345,3496.429
28.448,788.73,3498.651
28.498,784.107,3500.866
28.548,779.474,3503.074
28.598,774.831,3505.274
28.648,770.18,3507.467
28.698,765.52,3509.653
28.748,760.85,3511.832
28.798,756.172,3514.003
28.848,751.485,3516.167
28.898,746.789,3518.324
28.948,742.085,3520.474
28.998,737.371,3522.616
29.048,732.649,3524.751
29.098,727.919,3526.88
29.148,723.179,3529.001
29.198,718.432,3531.114
29.248,713.676,3533.221
29.298,708.911,3535.321
29.348,704.138,3537.413
29.398,699.357,3539.499
29.448,694.567,3541.577
29.498,689.77,3543.649
29.548,684.964,3545.713
29.598,680.15,3547.77
29.648,675.328,3549.821
29.698,670.498,3551.864
29.748,665.66,3553.9
29.798,660.815,3555.93
29.848,655.961,3557.952
29.898,651.1,3559.968
29.948,646.23,3561.976
29.998,641.354,3563.978
30.048,636.469,3565.973
30.098,631.577,3567.96
30.148,626.677,3569.941
30.198,621.77,3571.916
30.248,616.856,3573.883
30.298,611.934,3575.844
30.348,607.004,3577.797
30.398,602.068,3579.744
30.448,597.124,3581.684
30.498,592.172,3583.618
30.548,587.214,3585.544
30.598,582.249,3587.464
30.648,577.276,3589.377
30.698,572.297,3591.284
30.748,567.31,3593.184
30.798,562.317,3595.077
30.848,557.317,3596.963
30.898,552.309,3598.843
30.948,547.296,3600.716
30.998,542.275,3602.583
31.048,537.248,3604.443
31.098,532.214,3606.296
31.148,527.173,3608.143
31.198,522.126,3609.983
31.248,517.072,3611.817
31.298,512.012,3613.644
31.348,506.946,3615.465
31.398,501.873,3617.279
31.448,496.793,3619.087
31.498,491.708,3620.888
31.548,486.616,3622.683
31.598,481.518,3624.472
31.648,476.414,3626.253
31.698,471.304,3628.029
31.748,466.187,3629.798
31.798,461.065,3631.561
31.848,455.937,3633.318
31.898,450.803,3635.068
31.948,445.662,3636.812
31.998,440.516,3638.549
32.048,435.365,3640.28
32.098,430.207,3642.005
32.148,425.044,3643.724
32.198,419.875,3645.436
32.248,414.7,3647.143
32.298,409.52,3648.843
32.348,404.335,3650.536
32.398,399.143,3652.224
32.448,393.947,3653.905
32.498,388.745,3655.581
32.548,383.537,3657.25
32.598,378.324,3658.913
32.648,373.106,3660.57
32.698,367.883,3662.221
32.748,362.655,3663.865
32.798,357.421,3665.504
32.848,352.182,3667.137
32.898,346.938,3668.763
32.948,341.689,3670.384
32.998,336.435,3671.998
33.048,331.176,3673.607
33.098,325.912,3675.21
33.148,320.643,3676.806
33.198,315.37,3678.397
33.248,310.091,3679.982
33.298,304.808,3681.561
33.348,299.52,3683.134
33.398,294.227,3684.701
33.448,288.93,3686.262
33.498,283.628,3687.818
33.548,278.321,3689.367
33.598,273.01,3690.911
33.648,267.694,3692.449
33.698,262.374,3693.982
33.748,257.05,3695.508
33.798,251.721,3697.029
33.848,246.387,3698.544
33.898,241.05,3700.053
33.948,235.708,3701.557
33.998,230.362,3703.055
34.048,225.011,3704.547
34.098,219.657,3706.034
34.148,214.298,3707.515
34.198,208.935,3708.99
34.248,203.568,3710.46
34.298,198.197,3711.924
34.348,192.822,3713.382
34.398,187.443,3714.836
34.448,182.06,3716.283
34.498,176.674,3717.725
34.548,171.283,3719.161
34.598,165.889,3720.592
34.648,160.49,3722.018
34.698,155.088,3723.438
34.748,149.683,3724.853
34.798,144.273,3726.262
34.848,138.86,3727.665
34.898,133.443,3729.064
34.948,128.023,3730.457
34.998,122.599,3731.844
35.048,117.172,3733.227
35.098,111.741,3734.604
35.148,106.306,3735.975
35.198,100.869,3737.341
35.248,95.427,3738.702
35.298,89.983,3740.058
35.348,84.535,3741.409
35.398,79.084,3742.754
35.448,73.629,3744.094
35.498,68.171,3745.429
35.548,62.711,3746.758
35.598,57.246,3748.083
35.648,51.779,3749.402
35.698,46.309,3750.716
35.748,40.835,3752.025
35.798,35.359,3753.329
35.848,29.879,3754.628
35.898,24.396,3755.922
35.948,18.911,3757.21
35.998,13.422,3758.494
36.048,7.931,3759.772
36.098,2.437,3761.046
# Event GROUND_HIT occurred at t=36.148 seconds
# Event SIMULATION_END occurred at t=36.148 seconds
36.148,-3.06,3762.314
