# Séparation, actif, 45 (Up to date)
# 517 data points written for 3 variables.
# Simulation warnings:
#   Open forward airframe (diameter > 0):  "Transition"
#
# Temps (s),Altitude (m),Distance latérale (m)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
19.799,319.521,2053.959
19.849,316.263,2057.25
19.899,312.989,2060.531
19.949,309.699,2063.804
19.999,306.394,2067.068
20.049,303.074,2070.323
20.099,299.738,2073.569
20.149,296.387,2076.806
20.199,293.02,2080.034
20.249,289.639,2083.253
20.299,286.242,2086.464
20.349,282.83,2089.666
20.399,279.403,2092.859
20.449,275.961,2096.043
20.499,272.504,2099.218
20.549,269.032,2102.385
20.599,265.545,2105.543
20.649,262.043,2108.692
20.699,258.527,2111.832
20.749,254.996,2114.964
20.799,251.451,2118.087
20.849,247.891,2121.201
20.899,244.316,2124.307
20.949,240.727,2127.403
20.999,237.123,2130.492
21.049,233.506,2133.571
21.099,229.873,2136.642
21.149,226.227,2139.704
21.199,222.567,2142.758
21.249,218.892,2145.803
21.299,215.203,2148.839
21.349,211.501,2151.867
21.399,207.784,2154.886
21.449,204.053,2157.897
21.499,200.309,2160.899
21.549,196.551,2163.892
21.599,192.779,2166.877
21.649,188.993,2169.854
21.699,185.194,2172.822
21.749,181.381,2175.781
21.799,177.555,2178.732
21.849,173.715,2181.674
21.899,169.862,2184.608
21.949,165.996,2187.534
21.999,162.116,2190.451
22.049,158.223,2193.36
22.099,154.317,2196.26
22.149,150.398,2199.152
22.199,146.465,2202.035
22.249,142.52,2204.91
22.299,138.562,2207.777
22.349,134.59,2210.635
22.399,130.606,2213.485
22.449,126.61,2216.326
22.499,122.6,2219.16
22.549,118.578,2221.985
22.599,114.543,2224.801
22.649,110.496,2227.609
22.699,106.436,2230.409
22.749,102.364,2233.201
22.799,98.279,2235.985
22.849,94.182,2238.76
22.899,90.072,2241.527
22.949,85.951,2244.286
22.999,81.817,2247.036
23.049,77.671,2249.778
23.099,73.513,2252.513
23.149,69.344,2255.238
23.199,65.162,2257.956
23.249,60.968,2260.666
23.299,56.762,2263.367
23.349,52.545,2266.061
23.399,48.316,2268.746
