# Séparation, actif, 80 (Up to date)
# 504 data points written for 3 variables.
# Simulation warnings:
#   Deploiement du systeme de recuperation à grande vitesse (26,7 m/s):  "Parachute"
#   Open forward airframe (diameter > 0):  "Transition"
#
# Temps (s),Altitude (m),Distance latérale (m)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
17.808,1454.916,549.281
17.906,1454.393,551.631
18.007,1453.771,553.985
18.11,1453.045,556.342
18.216,1452.21,558.701
18.324,1451.263,561.061
18.434,1450.197,563.421
18.547,1449.008,565.781
18.663,1447.689,568.14
18.781,1446.236,570.499
18.903,1444.64,572.857
19.027,1442.895,575.215
19.155,1440.992,577.573
19.286,1438.921,579.932
19.422,1436.673,582.292
19.561,1434.235,584.656
19.705,1431.594,587.023
19.854,1428.733,589.396
20.008,1425.634,591.776
20.169,1422.277,594.165
20.336,1418.636,596.564
20.511,1414.683,598.976
20.695,1410.382,601.403
20.889,1405.693,603.848
21.094,1400.565,606.313
21.312,1394.939,608.801
21.545,1388.74,611.314
21.796,1381.874,613.857
22.069,1374.222,616.433
22.367,1365.633,619.044
22.697,1355.902,621.694
23.067,1344.756,624.386
23.488,1331.811,627.12
23.976,1316.506,629.897
24.476,1300.583,632.347
24.976,1284.471,634.45
25.476,1268.222,636.252
25.976,1251.872,637.794
26.476,1235.45,639.112
26.976,1218.979,640.237
27.476,1202.474,641.198
27.976,1185.947,642.017
28.476,1169.409,642.716
28.976,1152.865,643.311
29.476,1136.32,643.819
29.976,1119.779,644.251
30.476,1103.243,644.619
30.976,1086.716,644.933
31.476,1070.197,645.2
31.976,1053.688,645.427
32.476,1037.191,645.62
32.976,1020.705,645.785
33.476,1004.231,645.925
33.976,987.769,646.044
34.476,971.32,646.145
34.976,954.884,646.231
35.476,938.46,646.304
35.976,922.05,646.367
36.476,905.652,646.42
36.976,889.269,646.465
37.476,872.898,646.503
37.976,856.541,646.535
38.476,840.197,646.563
38.976,823.866,646.586
39.476,807.549,646.606
39.976,791.244,646.623
40.476,774.953,646.638
40.976,758.675,646.65
41.476,742.41,646.66
41.976,726.158,646.669
42.476,709.919,646.676
42.976,693.693,646.683
43.476,677.48,646.688
43.976,661.28,646.692
44.476,645.092,646.696
44.976,628.917,646.7
45.476,612.755,646.702
45.976,596.605,646.705
46.476,580.468,646.707
46.976,564.344,646.708
47.476,548.232,646.71
47.976,532.132,646.711
48.476,516.045,646.712
48.976,499.97,646.713
49.476,483.907,646.713
49.976,467.856,646.714
50.476,451.819,646.715
50.976,435.793,646.715
51.476,419.781,646.715
51.976,403.781,646.716
52.476,387.793,646.716
52.976,371.818,646.716
53.476,355.856,646.716
53.976,339.907,646.717
54.476,323.97,646.717
54.976,308.045,646.717
55.476,292.133,646.717
55.976,276.233,646.717
56.476,260.345,646.717
56.976,244.47,646.717
57.476,228.607,646.717
57.976,212.757,646.717
58.476,196.918,646.717
58.976,181.092,646.717
59.476,165.277,646.717
59.976,149.475,646.717
60.476,133.685,646.717
60.976,117.906,646.717
61.476,102.14,646.717
61.976,86.385,646.717
62.476,70.642,646.717
62.976,54.911,646.717
63.476,39.192,646.717
63.976,23.484,646.717
64.476,7.788,646.717
# Event GROUND_HIT occurred at t=64.724 seconds
# Event SIMULATION_END occurred at t=64.724 seconds
64.724,0,646.717
